call_uid,enquiry_ref,call_start_local,caller_number,tracking_number,mkt_medium,traffic_src,campaign_label,adgroup_name,device_type,region_state,landing_path,agent_team,call_outcome,sales_stage,lead_quality_flag,job_won_flag,missed_call_flag,repeat_caller_flag,duration_sec,wait_time_sec,ad_spend_aud,quote_value_aud,booked_job_value_aud,revenue_aud,row_quality_note
CALL-250224-1000,ENQ-250224-3045,2025-02-24 08:01,0428662275,DNI-NZ-LOCAL-182627,Paid Search,Google Ads,Dental Implants,Remarketing,Mobile,QLD,/lp/implants,Service Desk,Converted,Connected,No,Yes,No,Yes,359,29,12.69,888.08,709.73,709.73,late-night call
CALL-250207-1001,ENQ-250207-3803,2025-02-07 18:39,0435765822,DNI-AU-MOBILE-271339,Display,Programmatic,Roof Repair AU,Generic,Mobile,VIC,/lp/roof-repair,After Hours,Not Qualified,Connected,No,No,No,No,125,1,8.35,0.0,0,0,missing optional value
CALL-250218-1002,ENQ-250218-8019,2025-02-18 12:59,0477712982,DNI-NZ-LOCAL-479580,Referral,Partner Referral,Emergency Plumbing,Brand,Desktop,SA,/lp/emergency-plumbing,Service Desk,Answered,Connected,No,No,No,No,339,1,0.08,0.0,0,0,ok
CALL-250118-1003,ENQ-250118-5315,2025-01-18 16:31,0477854639,DNI-AU-MOBILE-632342,Paid Search,Google Ads,Dental Implants,Remarketing,Desktop,NSW,/lp/implants,Inbound Sales,Converted,Qualified,No,Yes,No,No,260,51,9.39,10082.03,6959.49,6959.49,ok
CALL-250322-1004,ENQ-250322-2290,2025-03-22 12:53,0401352572,DNI-AU-LOCAL-867460,Referral,Partner Referral,Emergency Plumbing,Generic,Mobile,QLD,/lp/emergency-plumbing,Inbound Sales,Missed,Missed,No,No,Yes,No,32,52,0.07,0,0,0,missing optional value
CALL-250109-1005,ENQ-250109-9479,2025-01-09 16:49,0413559381,DNI-NZ-LOCAL-226882,Paid Search,Google Ads,Local SEO,Brand,Mobile,NSW,/blog/local-service-guide,After Hours,Missed,Missed,No,No,Yes,No,27,57,39.7,0,0,0,ok
CALL-250129-1006,ENQ-250129-8744,2025-01-29 09:21,0435704201,DNI-AU-MOBILE-922733,Paid Search,Google Ads,Emergency Plumbing,High Intent,Mobile,QLD,/lp/emergency-plumbing,Inbound Sales,Missed,Missed,No,No,Yes,No,30,23,19.3,0,0,0,missing optional value
CALL-250222-1007,ENQ-250222-9856,2025-02-22 11:06,0401153045,DNI-AU-LOCAL-197793,Paid Search,Google Ads,Roof Repair AU,Emergency,Mobile,QLD,/lp/roof-repair,After Hours,Converted,Won,Yes,Yes,No,No,182,35,26.48,1874.78,1162.92,1162.92,ok
CALL-250122-1008,ENQ-250122-1931,2025-01-22 14:31,0435265080,DNI-AU-LOCAL-992697,Email,CRM Email,Competitor Terms,Generic,Mobile,VIC,/lp/compare-options,Inbound Sales,Answered,Connected,No,No,No,No,107,23,1.19,0.0,0,0,ok
CALL-250109-1009,ENQ-250109-9808,2025-01-09 17:04,0401176819,DNI-AU-MOBILE-630458,Referral,Partner Referral,Dental Implants,Near Me,Mobile,WA,/lp/implants,Inbound Sales,Converted,Won,Yes,Yes,No,No,272,19,0.62,4288.77,2591.38,,ok
CALL-250117-1010,ENQ-250117-7939,2025-01-17 13:56,0401196781,STATIC-AU-146228,Paid Search,Google Ads,Emergency Plumbing,Generic,Desktop,QLD,/lp/emergency-plumbing,After Hours,Converted,Won,Yes,Yes,No,No,119,50,18.29,5120.52,3456.9,3456.9,ok
CALL-250212-1011,ENQ-250212-6862,2025-02-12 10:40,0428662275,DNI-AU-MOBILE-815198,Direct,Direct Visit,Brand Protection,Emergency,Desktop,NSW,/contact,Inbound Sales,Missed,Missed,No,No,Yes,Yes,21,65,2.06,0,0,0,ok
CALL-250327-1012,ENQ-250327-6000,2025-03-27 09:22,0428466643,DNI-AU-MOBILE-333752,Paid Social,Meta Ads,Competitor Terms,Brand,Mobile,NSW,/lp/compare-options,Inbound Sales,Not Qualified,Connected,No,No,No,No,293,48,32.34,0.0,0,0,ok
CALL-250326-1013,ENQ-250326-4228,2025-03-26 11:25,0435820221,STATIC-AU-552248,Organic Search,Google Organic,Competitor Terms,Generic,Mobile,QLD,/lp/compare-options,Inbound Sales,Answered,Connected,No,No,No,No,,2,2.7,0.0,0,0,ok
CALL-250327-1014,ENQ-250327-4501,2025-03-27 13:39,0428563638,DNI-NZ-LOCAL-932291,Organic Search,Google Organic,Competitor Terms,Remarketing,Mobile,VIC,/lp/compare-options,Inbound Sales,Not Qualified,Connected,No,No,No,No,223,19,0.38,0.0,0,0,duplicate caller possible
CALL-250122-1015,ENQ-250122-4585,2025-01-22 18:05,0435704201,DNI-AU-MOBILE-943170,Organic Search,Google Organic,Local SEO,Competitor,Mobile,WA,/blog/local-service-guide,Inbound Sales,Qualified No Sale,Quote Sent,Yes,No,No,Yes,132,34,0.0,2083.81,0,0,duplicate caller possible
CALL-250308-1016,ENQ-250308-5681,2025-03-08 15:03,0401848206,DNI-AU-MOBILE-384913,Email,CRM Email,Winter Promo,Near Me,Mobile,NSW,/lp/winter-offer,Inbound Sales,Not Qualified,Connected,No,No,No,No,390,31,0,0.0,0,0,ok
CALL-250210-1017,ENQ-250210-9947,2025-02-10 16:05,0477870319,DNI-AU-MOBILE-611945,Paid Search,Google Ads,Dental Implants,Near Me,Desktop,VIC,/lp/implants,Inbound Sales,Not Qualified,Connected,No,No,No,No,190,0,12.0,0.0,0,0,ok
CALL-250204-1018,ENQ-250204-5262,2025-02-04 14:31,0402152727,DNI-NZ-LOCAL-443254,Paid Search,Google Ads,Dental Implants,Brand,Mobile,VIC,/lp/implants,Inbound Sales,Missed,Missed,No,No,Yes,No,21,69,8.61,0,0,0,ok
CALL-250228-1019,ENQ-250228-4571,2025-02-28 13:21,0402152727,DNI-NZ-LOCAL-833442,Paid Social,Meta Ads,Roof Repair AU,High Intent,Desktop,SA,/lp/roof-repair,Inbound Sales,Converted,Won,Yes,Yes,No,Yes,269,54,8.79,732.53,642.82,,ok
CALL-250217-1020,ENQ-250217-2129,2025-02-17 10:38,0477488571,STATIC-AU-113266,Referral,Partner Referral,Brand Protection,High Intent,Mobile,QLD,/contact,Overflow Team,Answered,Connected,No,No,No,No,545,42,2.69,0.0,0,0,missing optional value
